ID,Title,Description,Status,Category,Confidence,Notes,Author,"Created At","Updated At"
01k3wqxwvbm437ef5w7p0ytn8s,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.",Active,Technical,79%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:32"
01k3wqxwvcynjfgpcg65b4xpeq,"How to export data","I need to export my data for backup purposes. Could you please guide me through the process?","On Hold",Account,88%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:32"
01k3wqxwvcynjfgpcg65b4xper,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.","On Hold",General,63%,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:44:33"
01k3wqxwvd94ntkzmr8jchmekk,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.",Completed,"Feature Request",74%,"Architecto numquam ea iste tempora aut.","Admin User","2025-08-30 05:41:43","2025-08-30 05:44:33"
01k3wqxwvd94ntkzmr8jchmekm,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?",Completed,Account,84%,"Id aperiam nostrum rem qui.","Admin User","2025-08-30 05:41:43","2025-08-30 05:44:33"
01k3wqxwvey7fzkww9qm3mxj1w,"Website loading very slowly","The website takes forever to load pages. Sometimes it times out completely. This is affecting my work productivity. Please investigate server performance.","On Hold",General,58%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:32"
01k3wqxwvey7fzkww9qm3mxj1x,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?",Completed,"Feature Request",55%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:33"
01k3wqxwvfdc12s908ren34rgt,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?",Completed,General,53%,"Eligendi perferendis quaerat quae inventore magnam ipsum debitis qui.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:33"
01k3wqxwvfdc12s908ren34rgv,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?",Completed,General,80%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:33"
01k3wqxwvgp00xewcwafpdr74n,"Website loading very slowly","The website takes forever to load pages. Sometimes it times out completely. This is affecting my work productivity. Please investigate server performance.",Cancelled,General,66%,"Aut quibusdam qui alias inventore explicabo et.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:33"
01k3wqxwvgp00xewcwafpdr74p,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Active,Account,91%,"Soluta labore occaecati aut beatae veritatis ipsa cupiditate.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvh018fpdmar2h7kpbh,"Billing question about subscription","I was charged twice for my monthly subscription. Can you please refund the duplicate charge and explain why this happened?","On Hold","Feature Request",,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvh018fpdmar2h7kpbj,"Website loading very slowly","The website takes forever to load pages. Sometimes it times out completely. This is affecting my work productivity. Please investigate server performance.","On Hold",Technical,,"Non eius sunt commodi voluptatem occaecati omnis dolor fugiat. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvh018fpdmar2h7kpbk,"Billing question about subscription","I was charged twice for my monthly subscription. Can you please refund the duplicate charge and explain why this happened?",Cancelled,Technical,76%,"Similique voluptatem quo ipsam architecto eaque voluptas. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvjwzap1w8n9ckv4zzc,"How to export data","I need to export my data for backup purposes. Could you please guide me through the process?","On Hold",Billing,74%,"Ipsa voluptatibus expedita incidunt rerum maxime facere quia. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:33"
01k3wqxwvkzxbtnr8f02shzhbs,"Billing question about subscription","I was charged twice for my monthly subscription. Can you please refund the duplicate charge and explain why this happened?","On Hold",General,66%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:33"
01k3wqxwvkzxbtnr8f02shzhbt,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Completed,Technical,60%,"Sit occaecati quod quam quidem nihil unde quos. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:33"
01k3wqxwvkzxbtnr8f02shzhbv,"Website loading very slowly","The website takes forever to load pages. Sometimes it times out completely. This is affecting my work productivity. Please investigate server performance.",Active,Account,75%,"Ipsa quos non iusto illo.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:33"
01k3wqxwvmyzk3nsgyyaegpv7x,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.",Active,General,,"Et repellat ut minus ut voluptas sed aliquam cupiditate facilis reiciendis. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvmyzk3nsgyyaegpv7y,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.",Cancelled,"Bug Report",50%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:33"
01k3wqxwvnc1reneqt5yp6ze1q,"Feature request: Dark mode","Would love to see a dark mode option for the application. Many users prefer dark themes, especially for extended use.",Cancelled,"Bug Report",,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvnc1reneqt5yp6ze1r,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?",Cancelled,Billing,79%,"Nihil asperiores non consequatur dolores ab rerum autem ipsam amet rerum similique natus. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:33"
01k3wqxwvnc1reneqt5yp6ze1s,"Unable to login to account","I keep getting an error message when trying to log in. It says my username or password is incorrect, but I know they are right. Can you help me reset my account?",Cancelled,"Feature Request",89%,"Et officiis doloremque eum facilis suscipit debitis.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvpfjyvagsfrz7aezbt,"Billing question about subscription","I was charged twice for my monthly subscription. Can you please refund the duplicate charge and explain why this happened?","On Hold","Bug Report",61%,"Reiciendis consequatur aut ut ex quasi.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvpfjyvagsfrz7aezbv,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.",Active,"Bug Report",87%,"Quia quia ex nemo ab amet corrupti suscipit.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvpfjyvagsfrz7aezbw,"Billing question about subscription","I was charged twice for my monthly subscription. Can you please refund the duplicate charge and explain why this happened?",Completed,"Bug Report",,"Quam maxime tenetur exercitationem dolores suscipit quia.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvqmkympt9062b8fe47,"Billing question about subscription","I was charged twice for my monthly subscription. Can you please refund the duplicate charge and explain why this happened?",Cancelled,Technical,,"Et nemo rem consequuntur vel aut vero sed non.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvqmkympt9062b8fe48,"Billing question about subscription","I was charged twice for my monthly subscription. Can you please refund the duplicate charge and explain why this happened?",Active,General,62%,"Occaecati veniam quaerat itaque quo dicta ipsa fugiat adipisci beatae voluptas. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvqmkympt9062b8fe49,"Website loading very slowly","The website takes forever to load pages. Sometimes it times out completely. This is affecting my work productivity. Please investigate server performance.","On Hold",General,52%,"Cum nesciunt delectus quisquam beatae ipsum voluptas qui aut corrupti. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvr0pcexk5fqjfdrd6s,"Feature request: Dark mode","Would love to see a dark mode option for the application. Many users prefer dark themes, especially for extended use.",Completed,Billing,,"Sint exercitationem eligendi quasi molestiae velit distinctio facilis.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvr0pcexk5fqjfdrd6t,"Website loading very slowly","The website takes forever to load pages. Sometimes it times out completely. This is affecting my work productivity. Please investigate server performance.","On Hold",Account,,"Dolores sed ut quidem qui sit nostrum debitis.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvsa28kym703as675nd,"Feature request: Dark mode","Would love to see a dark mode option for the application. Many users prefer dark themes, especially for extended use.",Active,"Bug Report",55%,"Sit iusto cumque odio nihil aut dolore alias est. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvsa28kym703as675ne,"Unable to login to account","I keep getting an error message when trying to log in. It says my username or password is incorrect, but I know they are right. Can you help me reset my account?",Cancelled,"Bug Report",52%,"Totam consequatur atque qui doloremque.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvsa28kym703as675nf,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Cancelled,General,,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvsa28kym703as675ng,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?","On Hold",Account,,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvtv90wjqq61newk7gg,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Active,General,54%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvtv90wjqq61newk7gh,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.",Active,"Feature Request",,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvtv90wjqq61newk7gj,"Website loading very slowly","The website takes forever to load pages. Sometimes it times out completely. This is affecting my work productivity. Please investigate server performance.",Active,"Bug Report",75%,"Enim modi tenetur fugit asperiores fugiat et est molestias et veritatis voluptates voluptatem perspiciatis. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvvxbej4s3njwfeae16,"Billing question about subscription","I was charged twice for my monthly subscription. Can you please refund the duplicate charge and explain why this happened?","On Hold",Technical,,"Vel similique qui qui maiores vel voluptas dolore.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvvxbej4s3njwfeae17,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Completed,Account,64%,"Eligendi ut veniam quis ipsam itaque excepturi in excepturi. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvvxbej4s3njwfeae18,"Feature request: Dark mode","Would love to see a dark mode option for the application. Many users prefer dark themes, especially for extended use.",Completed,General,65%,"Iste quibusdam doloremque dolorem officiis laboriosam consequatur in adipisci doloribus aliquam. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvwvjtqpm55zsb27bsc,"Unable to login to account","I keep getting an error message when trying to log in. It says my username or password is incorrect, but I know they are right. Can you help me reset my account?",Active,Technical,,"Qui doloremque et tempora.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvwvjtqpm55zsb27bsd,"How to export data","I need to export my data for backup purposes. Could you please guide me through the process?",Cancelled,"Feature Request",68%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvxpe2eqayzaq85hpam,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.","On Hold",Account,90%,"Ut dolor earum officiis eos accusamus ipsum ut architecto omnis et tempore ducimus similique. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvxpe2eqayzaq85hpan,"Feature request: Dark mode","Would love to see a dark mode option for the application. Many users prefer dark themes, especially for extended use.",Active,"Bug Report",90%,"Quos voluptas totam sequi ab.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvyxb4xr3hrx1hzh09h,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?",Completed,General,89%,"Iure aut molestias velit iusto voluptas voluptatibus maiores. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvyxb4xr3hrx1hzh09j,"Unable to login to account","I keep getting an error message when trying to log in. It says my username or password is incorrect, but I know they are right. Can you help me reset my account?",Cancelled,General,84%,"Dolore voluptas recusandae quis eius vero non ex.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvyxb4xr3hrx1hzh09k,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Cancelled,Account,52%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvyxb4xr3hrx1hzh09m,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Cancelled,"Bug Report",66%,"Distinctio ex quam accusantium quod placeat illo amet nemo.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvzyn7ypmbsftxc2r3b,"Website loading very slowly","The website takes forever to load pages. Sometimes it times out completely. This is affecting my work productivity. Please investigate server performance.",Cancelled,"Bug Report",82%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxwvzyn7ypmbsftxc2r3c,"Unable to login to account","I keep getting an error message when trying to log in. It says my username or password is incorrect, but I know they are right. Can you help me reset my account?",Active,Technical,91%,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwvzyn7ypmbsftxc2r3d,"Billing question about subscription","I was charged twice for my monthly subscription. Can you please refund the duplicate charge and explain why this happened?",Cancelled,Technical,,"Necessitatibus minima sint itaque eaque occaecati tenetur aut.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww0zn564y0ahyv5jasf,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?","On Hold",Technical,,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww0zn564y0ahyv5jasg,"Website loading very slowly","The website takes forever to load pages. Sometimes it times out completely. This is affecting my work productivity. Please investigate server performance.",Cancelled,"Feature Request",64%,"Quis quo ut molestiae omnis exercitationem rerum tenetur voluptas quae voluptatibus vel cumque. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:34"
01k3wqxww0zn564y0ahyv5jash,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Cancelled,Billing,54%,"Excepturi dolores consequatur a aut.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:35"
01k3wqxww14x0jnfyjaf5269n8,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Cancelled,Account,87%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:35"
01k3wqxww14x0jnfyjaf5269n9,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?",Completed,"Bug Report",,"Nihil eius maxime non autem sint qui. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww2p9ne59mcyetx5wah,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Active,"Bug Report",74%,"Nostrum ipsam tempore quasi aut voluptatem ratione accusamus quasi impedit fuga corporis. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:35"
01k3wqxww2p9ne59mcyetx5waj,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?",Completed,Billing,,"Et in blanditiis minima quod.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww2p9ne59mcyetx5wak,"How to export data","I need to export my data for backup purposes. Could you please guide me through the process?",Active,Technical,,"Officiis et culpa dolor reprehenderit et voluptatem ipsa.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww3dp2mx8b1ggtce3n4,"Unable to login to account","I keep getting an error message when trying to log in. It says my username or password is incorrect, but I know they are right. Can you help me reset my account?","On Hold",General,84%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:35"
01k3wqxww3dp2mx8b1ggtce3n5,"Feature request: Dark mode","Would love to see a dark mode option for the application. Many users prefer dark themes, especially for extended use.",Completed,Technical,60%,"Est officiis soluta velit asperiores.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:35"
01k3wqxww3dp2mx8b1ggtce3n6,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Active,Technical,70%,"Quos in sit est eos ad odit odio. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:35"
01k3wqxww4k1p53qx273sbk99n,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.",Cancelled,Account,77%,"Quisquam ducimus non qui quas et magni in sit veniam cupiditate sint. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:35"
01k3wqxww4k1p53qx273sbk99p,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.",Completed,Billing,57%,"Doloribus omnis numquam necessitatibus voluptate quibusdam id nemo.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:35"
01k3wqxww4k1p53qx273sbk99q,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?",Completed,Account,74%,111,"Admin User","2025-08-30 05:41:43","2025-08-30 06:42:00"
01k3wqxww4k1p53qx273sbk99r,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?","On Hold",Billing,71%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:35"
01k3wqxww5zdcqh4601hxz8hn4,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Completed,"Bug Report",71%,"Occaecati aperiam accusantium corrupti incidunt non quas pariatur.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:35"
01k3wqxww5zdcqh4601hxz8hn5,"How to export data","I need to export my data for backup purposes. Could you please guide me through the process?",Cancelled,Technical,85%,"Dolore commodi modi qui reiciendis sit dolores itaque et quos quos et. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:35"
01k3wqxww5zdcqh4601hxz8hn6,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.","On Hold",Billing,80%,"In dolorem nisi sunt placeat similique eius eos labore alias maiores. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:35"
01k3wqxww6abvb9zj0g48pzj07,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.","On Hold","Feature Request",,"Cumque facere velit rerum aliquid doloribus officia. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww6abvb9zj0g48pzj08,"Feature request: Dark mode","Would love to see a dark mode option for the application. Many users prefer dark themes, especially for extended use.",Cancelled,General,76%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:35"
01k3wqxww6abvb9zj0g48pzj09,"Billing question about subscription","I was charged twice for my monthly subscription. Can you please refund the duplicate charge and explain why this happened?",Cancelled,,,"Dolore repudiandae quibusdam adipisci ex debitis quia esse eligendi libero suscipit dolores. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww6abvb9zj0g48pzj0a,"Unable to login to account","I keep getting an error message when trying to log in. It says my username or password is incorrect, but I know they are right. Can you help me reset my account?","On Hold",General,79%,"Blanditiis excepturi et possimus voluptas voluptas accusantium quam ut.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww7se12xhg5hymntq5e,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.",Completed,General,84%,"Nihil sit autem totam voluptatem et reiciendis.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww7se12xhg5hymntq5f,"How to export data","I need to export my data for backup purposes. Could you please guide me through the process?",Cancelled,,70%,"Unde ut distinctio labore provident deleniti aut. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww7se12xhg5hymntq5g,"How to export data","I need to export my data for backup purposes. Could you please guide me through the process?",Completed,,,"Et ut culpa dolores magni.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww7se12xhg5hymntq5h,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?","On Hold",,,"Quo odio nobis sit hic.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww7se12xhg5hymntq5j,"How to export data","I need to export my data for backup purposes. Could you please guide me through the process?",Active,,,"Molestias totam placeat quae cumque enim tempore delectus ut optio veritatis. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww8xf94cjzt9k6pc9vt,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.",Completed,Technical,,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww8xf94cjzt9k6pc9vv,"Website loading very slowly","The website takes forever to load pages. Sometimes it times out completely. This is affecting my work productivity. Please investigate server performance.",Completed,,,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww8xf94cjzt9k6pc9vw,"Feature request: Dark mode","Would love to see a dark mode option for the application. Many users prefer dark themes, especially for extended use.",Cancelled,,93%,"Aut consequatur enim voluptatem consequuntur.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww8xf94cjzt9k6pc9vx,"Unable to login to account","I keep getting an error message when trying to log in. It says my username or password is incorrect, but I know they are right. Can you help me reset my account?",Active,,79%,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww9pgzsxzv0afx7yj3x,"Feature request: Dark mode","Would love to see a dark mode option for the application. Many users prefer dark themes, especially for extended use.",Completed,,68%,"Iste repellat eos ut vel vel qui.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww9pgzsxzv0afx7yj3y,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Active,General,,"Dicta nostrum ex aspernatur numquam ipsam aut. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxww9pgzsxzv0afx7yj3z,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?",Cancelled,Billing,,"Voluptas voluptatum nostrum cum animi sed voluptatem natus tenetur quidem aspernatur dolorem architecto. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwwa4ceytg5e6vtsm3kt,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?",Active,,,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwwa4ceytg5e6vtsm3kv,"Website loading very slowly","The website takes forever to load pages. Sometimes it times out completely. This is affecting my work productivity. Please investigate server performance.","On Hold",,,"Qui iure adipisci cum qui sit aut exercitationem quisquam.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwwa4ceytg5e6vtsm3kw,"Website loading very slowly","The website takes forever to load pages. Sometimes it times out completely. This is affecting my work productivity. Please investigate server performance.","On Hold",,,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwwa4ceytg5e6vtsm3kx,"Account suspended unexpectedly","My account was suspended without any warning. I have not violated any terms of service. Please restore my access.",Completed,,,"Perferendis consequatur accusantium error eum modi et aut.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
